#,,,,,"generated_by='OpenQuake engine 3.16.1', start_date='2023-05-23T00:22:57', checksum=843156240"
event_id,slight,moderate,extensive,complete,loss_type
84,3.30995E+04,3.94902E+04,2.21881E+04,3.29238E+04,structural
85,3.20308E+04,3.93662E+04,2.26594E+04,3.37050E+04,structural
86,3.48520E+04,4.02972E+04,2.09035E+04,3.15060E+04,structural
87,3.15183E+04,4.03512E+04,2.32997E+04,3.22105E+04,structural
88,3.34633E+04,4.05434E+04,2.16000E+04,3.14573E+04,structural
89,3.42024E+04,4.03170E+04,2.13175E+04,3.17881E+04,structural
90,3.13950E+04,4.09844E+04,2.35794E+04,3.23732E+04,structural
91,3.23721E+04,3.91087E+04,2.18432E+04,3.40303E+04,structural
92,3.26811E+04,4.06894E+04,2.31441E+04,3.15004E+04,structural
93,3.39782E+04,4.02446E+04,2.23921E+04,3.03972E+04,structural
94,3.36604E+04,4.00370E+04,2.24102E+04,3.09838E+04,structural
95,3.32701E+04,4.07352E+04,2.20245E+04,3.05022E+04,structural
96,3.45475E+04,3.88958E+04,2.13413E+04,3.24292E+04,structural
97,3.40900E+04,3.91126E+04,2.15431E+04,3.24543E+04,structural
98,3.43576E+04,3.94019E+04,2.10682E+04,3.16334E+04,structural
99,3.41133E+04,3.91321E+04,2.11382E+04,3.17946E+04,structural
