#,,,,"generated_by='OpenQuake engine 3.16.1', start_date='2023-05-23T00:22:57', checksum=843156240"
custom_site_id,lon,lat,gmv_PGA,gsd_PGA
qd679389,1.15720E+02,-3.17200E+01,9.04064E-02,1.59272E+00
qd67972e,1.15720E+02,-3.17100E+01,8.38922E-02,1.48208E+00
qd679m0w,1.15720E+02,-3.17000E+01,8.67144E-02,1.63383E+00
qd679r08,1.15720E+02,-3.16900E+01,8.35683E-02,1.54310E+00
qd67c2bd,1.15720E+02,-3.16800E+01,8.02244E-02,1.58101E+00
qd67c68s,1.15720E+02,-3.16700E+01,7.79435E-02,1.55256E+00
qd67ck2x,1.15720E+02,-3.16600E+01,8.02085E-02,1.56002E+00
qd6k120e,1.15720E+02,-3.16400E+01,5.98493E-02,1.58514E+00
qd4qcd2n,1.15730E+02,-3.25500E+01,2.16037E-02,1.56279E+00
qd4qcs20,1.15730E+02,-3.25400E+01,2.24540E-02,1.57540E+00
qd4qcw05,1.15730E+02,-3.25300E+01,2.44145E-02,1.58587E+00
qd4qcxbj,1.15730E+02,-3.25200E+01,2.55690E-02,1.55502E+00
qd4rce0p,1.15730E+02,-3.23700E+01,3.45113E-02,1.54872E+00
qd621xbn,1.15730E+02,-3.23000E+01,5.02812E-02,1.55923E+00
qd6239b1,1.15730E+02,-3.22900E+01,5.17411E-02,1.57171E+00
qd623e85,1.15730E+02,-3.22800E+01,5.26915E-02,1.61109E+00
qd623t2j,1.15730E+02,-3.22700E+01,5.36790E-02,1.59043E+00
qd639e8h,1.15730E+02,-3.20600E+01,1.27973E-01,1.52418E+00
qd639t2p,1.15730E+02,-3.20500E+01,1.24534E-01,1.56924E+00
qd639x21,1.15730E+02,-3.20400E+01,1.36177E-01,1.51818E+00
qd67190j,1.15730E+02,-3.18100E+01,1.28435E-01,1.63650E+00
qd671dbp,1.15730E+02,-3.18000E+01,1.15026E-01,1.58387E+00
qd671sb1,1.15730E+02,-3.17900E+01,1.14484E-01,1.58153E+00
qd67382n,1.15730E+02,-3.17700E+01,1.09911E-01,1.61168E+00
qd673d20,1.15730E+02,-3.17600E+01,1.07448E-01,1.56846E+00
qd673s04,1.15730E+02,-3.17500E+01,1.08677E-01,1.57203E+00
qd673x8p,1.15730E+02,-3.17300E+01,9.85621E-02,1.53507E+00
qd679981,1.15730E+02,-3.17200E+01,9.25572E-02,1.54297E+00
qd679e25,1.15730E+02,-3.17100E+01,8.65021E-02,1.62540E+00
qd679x00,1.15730E+02,-3.16900E+01,8.10463E-02,1.52166E+00
qd67c8b4,1.15730E+02,-3.16800E+01,8.30379E-02,1.54607E+00
qd67cd8h,1.15730E+02,-3.16700E+01,7.57552E-02,1.56943E+00
qd4qc8xk,1.15740E+02,-3.25600E+01,2.08294E-02,1.61226E+00
qd4qcsr2,1.15740E+02,-3.25400E+01,2.37902E-02,1.57563E+00
qd4qcwp7,1.15740E+02,-3.25300E+01,2.57293E-02,1.62953E+00
qd4r19xr,1.15740E+02,-3.25100E+01,2.42240E-02,1.55718E+00
qd4rcepr,1.15740E+02,-3.23700E+01,4.09455E-02,1.54397E+00
qd621dx2,1.15740E+02,-3.23300E+01,4.71553E-02,1.55879E+00
qd621sr6,1.15740E+02,-3.23200E+01,4.47827E-02,1.55683E+00
qd621xzq,1.15740E+02,-3.23000E+01,4.72399E-02,1.58831E+00
qd6239z3,1.15740E+02,-3.22900E+01,5.91049E-02,1.48576E+00
qd623ex7,1.15740E+02,-3.22800E+01,5.12047E-02,1.60068E+00
qd623trm,1.15740E+02,-3.22700E+01,5.37660E-02,1.54026E+00
qd639exk,1.15740E+02,-3.20600E+01,1.18428E-01,1.59500E+00
qd639trr,1.15740E+02,-3.20500E+01,1.26106E-01,1.60981E+00
qd639xr3,1.15740E+02,-3.20400E+01,1.27186E-01,1.56323E+00
